2024-03-25 10:22:33,248.248	INFO	[export.py:58]	Event: {'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 10, 'traders': ['Random']}. State it: 19
2024-03-25 10:34:37,142.142	ERROR	[main.py:48]	Config: #46
2024-03-25 10:34:37,142.142	ERROR	[main.py:49]	Events: [{'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 10, 'traders': ['Random']}]
2024-03-25 10:34:40,018.018	INFO	[export.py:58]	Event: {'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 10, 'traders': ['Random']}. State it: 19
2024-03-25 10:34:42,495.495	ERROR	[main.py:48]	Config: #47
2024-03-25 10:34:42,496.496	ERROR	[main.py:49]	Events: [{'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 10, 'traders': ['Random']}]
2024-03-25 10:34:45,376.376	INFO	[export.py:58]	Event: {'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 10, 'traders': ['Random']}. State it: 19
2024-03-25 10:34:47,109.109	ERROR	[main.py:48]	Config: #48
2024-03-25 10:34:47,110.110	ERROR	[main.py:49]	Events: [{'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 10, 'traders': ['Random']}]
2024-03-25 10:34:51,572.572	INFO	[export.py:58]	Event: {'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 10, 'traders': ['Random']}. State it: 19
2024-03-25 10:34:53,277.277	ERROR	[main.py:48]	Config: #49
2024-03-25 10:34:53,277.277	ERROR	[main.py:49]	Events: [{'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 10, 'traders': ['Random']}]
2024-03-25 10:34:56,993.993	INFO	[export.py:58]	Event: {'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 10, 'traders': ['Random']}. State it: 19
2024-03-25 10:34:58,702.702	ERROR	[main.py:48]	Config: #50
2024-03-25 10:34:58,702.702	ERROR	[main.py:49]	Events: [{'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 10, 'traders': ['Random']}]
2024-03-25 10:35:03,617.617	INFO	[export.py:58]	Event: {'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 10, 'traders': ['Random']}. State it: 19
2024-03-25 10:35:05,366.366	ERROR	[main.py:48]	Config: #51
2024-03-25 10:35:05,366.366	ERROR	[main.py:49]	Events: [{'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 10, 'traders': ['Random']}]
2024-03-25 10:35:09,446.446	INFO	[export.py:58]	Event: {'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 10, 'traders': ['Random']}. State it: 19
2024-03-25 10:35:11,138.138	ERROR	[main.py:48]	Config: #52
2024-03-25 10:35:11,138.138	ERROR	[main.py:49]	Events: [{'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 10, 'traders': ['Random']}]
2024-03-25 10:35:15,099.099	INFO	[export.py:58]	Event: {'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 10, 'traders': ['Random']}. State it: 19
2024-03-25 10:35:16,811.811	ERROR	[main.py:48]	Config: #53
2024-03-25 10:35:16,811.811	ERROR	[main.py:49]	Events: [{'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 10, 'traders': ['Random']}]
2024-03-25 10:35:20,558.558	INFO	[export.py:58]	Event: {'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 10, 'traders': ['Random']}. State it: 19
